catalog_present,coverage_status,display_name,normalized_name,occurrence_count,priority_score,source_count
True,missing,FEIJAO CARIOCA SABOR MINEIRO 1KG,FEIJAO CARIOCA SABOR MINEIRO 1KG,3,8.5,2
False,missing,"SUCO DE UVA AURORA 1,5L TP TINTO INTEGRAL",SUCO DE UVA AURORA 1.5L TP TINTO INTEGRAL,3,8.25,3
False,missing,"CHOCOLATE KIT KAT 41,5G",CHOCOLATE KIT KAT 41.5G,3,8.25,3
False,missing,QUEIJO COALHO TAQUARI 285G,QUEIJO COALHO TAQUARI 285G,5,6.75,1
False,missing,"LIMPADOR PERFUMADO CASAFLOR 1,75L",LIMPADOR PERFUMADO CASAFLOR 1.75L,2,5.5,2
False,missing,"IOGURTE NESTLÉ TRIPLO ZERO 1,15KG",IOGURTE NESTLE TRIPLO ZERO 1.15KG,2,5.5,2
False,missing,"IOGURTE ITAMBÉ MORANGO 1,15KG",IOGURTE ITAMBE MORANGO 1.15KG,2,5.5,2
False,missing,ESPETINHO FRANBACON,ESPETINHO FRANBACON,2,5.5,2
False,missing,"DESINFETANTE POLITRIZ 1,75L",DESINFETANTE POLITRIZ 1.75L,2,5.5,2
False,missing,COXA E SOBRECOXA,COXA E SOBRECOXA,2,5.5,2
True,missing,"RACAO TITAN ADULTO 10,1 KG",RACAO TITAN ADULTO 10.1KG,1,4.75,1
True,missing,CERVEJA ANTARCTICA 350ML SUB ZERO LT,CERVEJA ANTARCTICA 350ML SUB ZERO LT,1,4.75,1
True,missing,CAFE VASCONCELOS 500G EXTRA FORTE,CAFE VASCONCELOS 500G EXTRA FORTE,1,4.75,1
False,missing,LINGUIÇA CUIABANA SR,LINGUICA CUIABANA SR,2,3.75,1
False,missing,UVA VITORIA S/ SEMENTE BDJ 500G,UVA VITORIA S SEMENTE BDJ 500G,1,2.75,1
False,missing,TORRADA MARINAL LEV MAGIC TOAST 110G,TORRADA MARINAL LEV MAGIC TOAST 110G,1,2.75,1
False,missing,"TOALHA BANHAO 1,50M ABSULUTE ZERO",TOALHA BANHAO 1.50M ABSULUTE ZERO,1,2.75,1
False,missing,TAPIOCA DA TERRINHA 500G,TAPIOCA DA TERRINHA 500G,1,2.75,1
False,missing,SURUBIM ARMAZEM DO PEIXE PCT 800G,SURUBIM ARMAZEM DO PEIXE PCT 800G,1,2.75,1
False,missing,SUCO POLPA SR 400ML,SUCO POLPA SR 400ML,1,2.75,1
False,missing,SUCO NUTRI NECTAR 1L,SUCO NUTRI NECTAR 1L,1,2.75,1
False,missing,SUCO MAGUARY SABORES 1L,SUCO MAGUARY SABORES 1L,1,2.75,1
False,missing,SUCO KAPO 200ML,SUCO KAPO 200ML,1,2.75,1
